date,eventName,eventDescription,eventLocation,hosts
2/17/24 at 10am,,,,
2/20/24 at 4pm,,,,
2/24/24 at 10am,,,,
2/27/24 at 4pm,,,,
3/3/24 at 1pm,,,,
3/6/24 at 5pm,,,,
3/9/24 at 11am,,,,
3/13/24 at 5pm,,,,
3/16/24 at 11am,,,,
3/24/24 at 1pm,,,,
3/27/24 at 5pm,,,,
3/30/24 at 11am,,,,
4/6/24 at 3pm,,,,
4/10/24 at 5:30pm,,,,
4/14/24 at 1pm,,,,
4/17/24 at 5:30pm,,,,
4/20/24 at 1pm,,,,
4/24/24 at 5:30pm,,,,
4/28/24 at 1pm,,,,
5/1/24 at 5:30pm,,,,
5/5/24 at 8am,,,,
5/8/24 at 5:30pm,,,,
5/11/24 at 8am,,,,
5/15/24 at 5:30pm,,,,
5/19/24 at 8am,,,,
5/22/24 at 5:30pm,,,,
5/25/24 at 8am,,,,
5/29/24 at 5:30pm,,,,
6/2/24 at 9am,,,,
6/5/24 at 6pm,,,,
6/8/24 at 9:30am - 1:30pm, Pickle Pride Picnic 🥒🏳️‍🌈🧺,,,
6/11/24 at 6pm,,,,
6/16/24 at 9am,,,,
6/19/24 at 6pm,,,,
6/25/24 at 6pm,,,,
6/30/24 at 9am,,,,
7/2/24 at 6pm,,,,
7/6/24 at 9am,,,,
7/10/24 at 6pm,,,,
6/14/24 at 9am,,,,
6/17/24 at 6pm,,,,
7/20/24 at 9am,,,,
7/23/24 at 6pm,,,,
7/26/24 at 6am,Special event,,,
7/27/24 at 9am,,,,
7/31/24 at 6pm,,,,
8/4/24 at 9am - 11am,,,,
8/7/24 at 6pm,,,,
8/10/24 at 9am,,,,
8/14/24 at 6pm,,,,
8/18/24 at 9am,,,,
8/20/24 at 6pm,,,,
8/24/24 at 9am,,,,
8/28/24 at 6pm,,,,
9/2/24 at 10am,Field Day,,,
9/4/24 at 6pm,,,,
9/8/24 at 9am,,,,
9/11/24 at 6pm,,,,
9/14/24 at 9am,,,,
9/18/24 at 6pm,,,,
9/22/24 at 9am,,,,
9/25/24 at 6pm,,,,
9/29/24 at 8:30am, Tournament,,,
10/6/24 at 9am,,,,
10/9/24 at 5pm,,,,
10/12/24 at 9am,,,,
10/16/24 at 5pm,,,,
10/20/24 at 11am,,,,
10/23/24 at 5pm,,,,
10/27/24 at 11am,,,,
10/30/24 at 5pm, Halloween Edition,,,
11/2/24 at 10am,,,,
11/5/24 at 5:30pm,,,,
11/10/24 at 10am,,,,
11/13/24 at 5:30pm,,,,
11/16/24 at 10am,,,,
11/20/24 at 5:30pm,,,,
11/24/24 at 10am,,,,
11/27/24 at 5:30pm,,,,
11/30/24 at 10am,,,,
3/1/25 at 10am,,,,"Jaime,Jay"
3/8/25 at 10am,,,,"Jaime,Caroline"
3/16/25 at 10am,,,,"Jesse,Eliza"
3/23/25 at 10am,,,,"Jesse,Eliza"
3/29/25 at 10am,,,,"Caroline,Jay"
4/5/25 at 11am - 1pm,,,,"Nia,Som,Sanjay"
4/8/25 at 6:30pm - 8:30pm,,,,"Jaime,Viv"
4/13/25 at 10am - 12pm,,,,"Viv,Caroline"
4/16/25 at 5:30pm - 7:30pm,,,,"Caroline"
4/19/25 at 11am - 1pm,,,,"Tori,Amanda"
4/23/25 at 6pm - 8pm,,,,"Jesse"
4/27/25 at 11am - 1pm,,,,"Nia,Som,Sanjay"
4/29/25 at 6:30pm - 8:30pm,,,,"Jaime"
5/3/25 at 10am - 12pm,,,,"Eliza,Jaime"
5/7/25 at 6pm - 8pm,,,,"Jaime,Caroline"
5/10/25 at 10am - 12pm,,,,"Kate,Jesse"
5/13/25 at 6pm - 8pm,,,,"Sanjay,Som"
5/17/25 at 10am - 12pm,,,,"meesh,Jay"
5/21/25 at 6pm - 8pm,,,,"Jesse,Kai"
5/24/25 at 11am - 1pm,,,,"Tori,Amanda"
5/28/25 at 6pm - 8pm,,,,"Jesse,Jaime"
6/1/25 at 10am - 12pm,,,,"Caroline,Viv"
6/2/25 at 6pm - 8pm, Tournament Practice,,,
6/7/25 at 8am - 3pm, PRIDE Tournament,,,
6/10/25 at 6pm - 8pm,,,,"Mish,meesh"
6/15/25 at 9am - 11am,,,,"Eliza,Caroline"
6/18/25 at 6pm - 8pm,,,,"Jesse,Jaime"
6/21/25 at 9am - 11am,,,,"Jaime,Kate"
6/25/25 at 6pm - 8pm,,,,"Jaime"
6/28/25 at 9am - 11am,,,,"meesh,Viv"
7/1/25 at 6pm - 8pm,,,,"meesh,Viv"
7/8/25 at 6pm - 8pm,,,,"Sanjay,Som"
7/12/25 at 9am - 11am,,,,"Kate,Jaime"
7/15/25 at 6pm - 8pm,,,,"meesh,Jay"
7/20/25 at 9am - 11am,,,,"Tori,Amanda"
7/23/25 at 6pm - 8pm,,,,"Kai,Caroline"
7/27/25 at 9am - 11am,,,,"Jaime,Tori"
7/29/25 at 6pm - 8pm,,,,"meesh,Eliza"
8/3/25 at 9am - 11am,,,,"meesh,Caroline"
8/6/25 at 6pm - 8pm,,,,"Jesse,Jaime"
8/9/25 at 9am - 12pm, Ballers,,,
8/12/25 at 6pm - 8pm,,,,"Som,Sanjay"
8/16/25 at 9am - 11am,,,,"Viv,Eliza"
8/19/25 at 6pm - 8pm,,,,"meesh,Eliza"
8/24/25 at 9am - 11am,,,,"Amanda,Tori"
8/26/25 at 6pm - 8pm,,,,"meesh,Jaime"
8/30/25 at 9am - 11am,,,,
9/2/25 at 6:30pm - 8pm,,,,
9/6/25 at 10am - 12pm,,,,"Jaime,Eliza"
9/13/25 at 10am - 12pm,,,47th and Spruce,"Kate,Eliza"
9/17/25 at 6pm - 8pm,,,47th and Spruce,"meesh,Mish"
9/21/25 at 10am - 12pm,,,47th and Spruce,"Jaime,Amanda"
9/28/25 at 10am - 12pm,,,47th and Spruce,"Jaime,Amanda"
10/11/25 at 9am - 11am,Clinic,Designed for 8-12 participants on 2 nets (please DM to sign up),47th and Spruce,"Michelle,Aly"
10/15/25 at 6pm - 7:30pm,Clinic,,47th and Spruce,"Michelle,Aly"
10/21/25 at 6pm - 7:30pm,Clinic,,,"Michelle"
11/1/25 at 10am - 12pm,,,,"Jesse,Aly"
11/2/25 at 9am - 12pm,,,,"Viv,Sanjay"
11/5/25 at 6pm - 9pm,,,,"meesh,Michelle"
11/8/25 at 10am - 12pm,,,,"Eliza,Caroline"
11/12/25 at 6pm - 9pm,,,,"Michelle,Aly"
11/16/25 at 9am - 12pm,,,,"Viv,Amanda"
11/19/25 at 6pm - 9pm,,,,"meesh,Kai"
11/23/25 at 9am - 12pm,,,,"meesh,Caroline"
3/14/26 at 4pm - 6pm,Season Kickoff at Ballers,,,
3/22/26 at 10am - 12pm,,,,"meesh,Jonah"
3/25/26 at 6pm - 8pm,,,,"Jamie,meesh"
3/29/26 at 10am - 12pm,,,,"Caroline,Michelle"
